date,Discharge(W),Charge(W),Production(W),Consumption(W),Feed-in(W),From grid(W),State of Charge(%)
2020-03-15 0:0:00,0.0,0.12,0.0,22.97,0.0,23.09,0.0
2020-03-15 0:15:00,0.0,1.8000000000000007,0.0,366.14,0.0,367.94,0.0
2020-03-15 0:30:00,0.0,1.9750000000000005,0.0,408.755,0.0,410.72999999999996,0.0
2020-03-15 0:45:00,0.0,1.8000000000000007,0.0,399.84000000000003,0.0,401.6400000000001,0.0
2020-03-15 1:0:00,0.0,1.8200000000000003,0.0,402.23,0.0,404.05,0.0
2020-03-15 1:15:00,0.0,504.6800000000001,0.0,873.2300000000001,0.0,1377.91,0.0
2020-03-15 1:30:00,0.0,625.0500000000001,0.0,992.0899999999999,0.0,1617.1399999999999,4.0
2020-03-15 1:45:00,0.0,625.0500000000001,0.0,1003.5899999999999,0.0,1628.64,11.0
2020-03-15 2:0:00,0.0,625.0500000000001,0.0,1006.35,0.0,1631.4000000000003,17.0
2020-03-15 2:15:00,0.0,625.0500000000001,0.0,1011.1999999999998,0.0,1636.25,24.0
2020-03-15 2:30:00,0.0,625.0500000000001,0.0,1012.68,0.0,1637.73,29.0
2020-03-15 2:45:00,0.0,625.0500000000001,0.0,975.8400000000001,0.0,1600.8899999999999,35.0
2020-03-15 3:0:00,0.0,625.0500000000001,0.0,968.61,0.0,1593.66,41.0
2020-03-15 3:15:00,0.0,625.0500000000001,0.0,978.97,0.0,1604.02,47.0
2020-03-15 3:30:00,0.0,625.0500000000001,0.0,990.04,0.0,1615.0899999999997,53.0
2020-03-15 3:45:00,0.0,625.0500000000001,0.0,988.8600000000001,0.0,1613.91,59.0
2020-03-15 4:0:00,0.0,625.0500000000001,0.0,991.5999999999999,0.0,1616.65,66.0
2020-03-15 4:15:00,0.0,248.55,0.0,609.07,0.0,857.6200000000002,72.0
2020-03-15 4:30:00,0.0,1.8200000000000007,0.0,353.56000000000006,0.0,355.38,74.0
2020-03-15 4:45:00,0.0,1.87,0.0,358.88,0.0,360.75000000000006,74.0
2020-03-15 5:0:00,0.0,1.8400000000000003,0.0,375.30999999999995,0.0,377.15000000000003,74.0
