date,Discharge(W),Charge(W),Production(W),Consumption(W),Feed-in(W),From grid(W)
2020-04-30 0:0:00,0.0,0.1,0.0,0.0,0.0,0.1
2020-04-30 0:15:00,0.0,0.1,0.0,0.0,0.0,0.1
2020-04-30 0:30:00,0.0,0.1,0.0,0.0,0.0,0.1
2020-04-30 0:45:00,0.0,0.1,0.0,0.0,0.0,0.1
2020-04-30 1:0:00,0.0,0.1,0.0,0.0,0.0,0.1
2020-04-30 1:15:00,0.0,18.4,0.0,0.0,0.0,18.4
2020-04-30 1:30:00,0.0,0.5,0.0,0.0,0.0,0.5
2020-04-30 1:45:00,0.0,0.1,0.0,0.0,0.0,0.1
2020-04-30 2:0:00,0.0,0.2,0.0,0.0,0.0,0.2
2020-04-30 2:15:00,0.0,0.1,0.0,0.0,0.0,0.1
2020-04-30 2:30:00,0.0,0.1,0.0,0.0,0.0,0.1
2020-04-30 2:45:00,0.0,0.1,0.0,0.0,0.0,0.1
2020-04-30 3:0:00,0.0,0.1,0.0,0.0,0.0,0.1
2020-04-30 3:15:00,0.0,0.1,0.0,0.0,0.0,0.1
2020-04-30 3:30:00,0.0,0.1,0.0,0.0,0.0,0.1
2020-04-30 3:45:00,0.0,0.1,0.0,0.0,0.0,0.1
2020-04-30 4:0:00,0.0,0.1,0.0,0.0,0.0,0.1
2020-04-30 4:15:00,0.0,0.1,0.0,0.0,0.0,0.1
2020-04-30 4:30:00,0.0,0.1,0.0,0.0,0.0,0.1
2020-04-30 4:45:00,0.0,0.1,0.0,0.0,0.0,0.1
2020-04-30 5:0:00,0.0,0.1,0.0,0.0,0.0,0.1
2020-04-30 5:15:00,0.0,0.1,0.0,0.0,0.0,0.1
2020-04-30 5:30:00,0.0,0.1,0.0,0.0,0.0,0.1
2020-04-30 5:45:00,0.0,0.1,0.0,0.0,0.0,0.1
2020-04-30 6:0:00,0.0,0.1,0.0,0.0,0.0,0.1
2020-04-30 6:15:00,0.0,0.1,0.0,0.0,0.0,0.1
2020-04-30 6:30:00,0.0,0.1,0.0,0.0,0.0,0.1
2020-04-30 6:45:00,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-30 7:0:00,0.0,0.1,0.1,0.0,0.0,0.0
2020-04-30 7:15:00,0.0,3.8,3.8,0.0,0.0,0.0
2020-04-30 7:30:00,0.0,5.1,6.3,1.2,0.0,0.0
2020-04-30 7:45:00,0.0,0.0,7.7,7.7,0.0,0.0
2020-04-30 8:0:00,0.0,0.0,9.4,9.4,0.0,0.0
2020-04-30 8:15:00,0.0,0.0,12.0,12.0,0.0,0.0
2020-04-30 8:30:00,0.0,0.0,14.4,14.4,0.0,0.0
2020-04-30 8:45:00,0.0,0.0,16.6,16.6,0.0,0.0
2020-04-30 9:0:00,0.0,0.0,18.4,18.4,0.0,0.0
2020-04-30 9:15:00,0.0,0.0,20.2,20.1,0.0,0.0
2020-04-30 9:30:00,0.0,0.0,21.9,21.9,0.0,0.0
2020-04-30 9:45:00,0.0,0.0,24.0,24.0,0.0,0.0
2020-04-30 10:0:00,0.0,0.0,25.4,25.4,0.0,0.0
2020-04-30 10:15:00,0.0,0.0,26.9,26.9,0.0,0.0
2020-04-30 10:30:00,0.0,0.0,28.0,28.0,0.0,0.0
2020-04-30 10:45:00,0.0,0.0,29.1,29.1,0.0,0.0
2020-04-30 11:0:00,0.0,0.0,30.5,30.5,0.0,0.0
2020-04-30 11:15:00,0.0,0.0,31.7,31.6,0.0,0.0
2020-04-30 11:30:00,0.0,0.0,32.4,32.4,0.0,0.0
2020-04-30 11:45:00,0.0,5.5,33.3,27.8,0.0,0.0
2020-04-30 12:0:00,0.0,0.0,32.5,32.4,0.0,0.0
2020-04-30 12:15:00,0.0,0.0,32.2,32.2,0.0,0.0
2020-04-30 12:30:00,0.0,0.0,32.1,32.1,0.0,0.0
2020-04-30 12:45:00,0.0,0.0,32.4,32.4,0.0,0.0
2020-04-30 13:0:00,0.0,0.0,32.4,32.4,0.0,0.0
2020-04-30 13:15:00,0.0,0.0,32.2,32.2,0.0,0.0
2020-04-30 13:30:00,0.0,0.0,31.5,31.5,0.0,0.0
2020-04-30 13:45:00,0.0,0.0,31.1,31.1,0.1,0.0
