date,Discharge(KW),Charge(KW),Production(KW),Consumption(KW),Feed-in(KW),From grid(KW),State of Charge(%)
2020-06-26 0:00:00,0.28,0.0,0.0,0.32,0.0,0.04,52.0
2020-06-26 1:00:00,0.16,0.0,0.0,0.2,0.0,0.04,47.0
2020-06-26 2:00:00,0.13,0.0,0.0,0.16,0.0,0.03,45.0
2020-06-26 3:00:00,0.09,0.0,0.0,0.12,0.0,0.03,43.0
2020-06-26 4:00:00,0.12,0.0,0.0,0.16,0.0,0.03,41.0
2020-06-26 5:00:00,0.06,0.0,0.0,0.18,0.0,0.13,39.0
2020-06-26 6:00:00,0.0,0.01,0.02,0.21,0.0,0.2,38.0
2020-06-26 7:00:00,0.0,0.01,0.08,0.33,0.01,0.27,38.0
2020-06-26 8:00:00,0.23,0.02,0.18,0.48,0.0,0.1,38.0
2020-06-26 9:00:00,0.2,0.24,0.51,0.48,0.02,0.02,34.0
2020-06-26 10:00:00,0.0,0.35,0.47,0.09,0.02,0.0,33.0
2020-06-26 11:00:00,0.18,0.14,0.46,0.58,0.0,0.09,37.0
2020-06-26 12:00:00,0.0,0.37,0.55,0.17,0.02,0.01,35.0
2020-06-26 13:00:00,0.04,0.43,0.58,0.18,0.02,0.01,39.0
2020-06-26 14:00:00,0.08,0.08,0.24,0.24,0.02,0.02,42.0
2020-06-26 15:00:00,0.0,0.14,0.32,0.15,0.03,0.0,42.0
2020-06-26 16:00:00,1.12,0.04,0.35,1.56,0.01,0.14,43.0
2020-06-26 17:00:00,0.57,0.08,0.43,1.08,0.01,0.17,29.0
2020-06-26 18:00:00,0.0,0.08,0.28,0.19,0.02,0.01,23.0
2020-06-26 19:00:00,0.45,0.0,0.09,0.57,0.0,0.04,23.0
2020-06-26 20:00:00,0.27,0.0,0.03,0.33,0.0,0.04,17.0
2020-06-26 21:00:00,0.23,0.0,0.0,0.54,0.0,0.31,13.0
2020-06-26 22:00:00,0.0,0.01,0.0,1.0,0.0,1.0,10.0
2020-06-26 23:00:00,0.0,0.01,0.0,0.89,0.0,0.9,10.0
