date,Discharge(KW),Charge(KW),Production(KW),Consumption(KW),Feed-in(KW),From grid(KW)
2020-01-10 0:00:00,0.05,0.0,0.0,0.05,0.0,0.0
2020-01-10 1:00:00,0.05,0.0,0.0,0.05,0.0,0.0
2020-01-10 2:00:00,0.03,0.0,0.0,0.03,0.0,0.0
2020-01-10 3:00:00,0.06,0.0,0.0,0.06,0.0,0.0
2020-01-10 4:00:00,0.02,0.0,0.0,0.02,0.0,0.0
2020-01-10 5:00:00,0.05,0.0,0.0,0.05,0.0,0.0
2020-01-10 6:00:00,0.02,0.0,0.0,0.02,0.0,0.0
2020-01-10 7:00:00,0.05,0.0,0.0,0.05,0.0,0.0
2020-01-10 8:00:00,0.01,0.0,0.0,0.01,0.0,0.0
2020-01-10 9:00:00,0.51,0.0,0.3,0.81,0.0,0.0
2020-01-10 10:00:00,1.17,0.0,0.23,1.4,0.0,0.0
2020-01-10 11:00:00,0.0,0.0,0.8,0.12,0.68,0.0
2020-01-10 12:00:00,0.0,0.5,0.54,0.04,0.0,0.0
2020-01-10 13:00:00,0.0,0.63,0.87,0.24,0.0,0.0
2020-01-10 14:00:00,0.0,0.25,0.52,0.27,0.0,0.0
2020-01-10 15:00:00,0.0,0.66,0.68,0.02,0.0,0.0
2020-01-10 16:00:00,0.0,0.33,0.36,0.03,0.0,0.0
2020-01-10 17:00:00,0.0,0.2,0.25,0.05,0.0,0.0
2020-01-10 18:00:00,0.0,0.01,0.01,0.0,0.0,0.0
2020-01-10 19:00:00,0.94,0.0,0.0,0.94,0.0,0.0
2020-01-10 20:00:00,0.02,0.0,0.0,0.02,0.0,0.0
2020-01-10 21:00:00,0.06,0.0,0.0,0.06,0.0,0.0
2020-01-10 22:00:00,0.02,0.0,0.0,0.02,0.0,0.0
2020-01-10 23:00:00,0.06,0.0,0.0,0.06,0.0,0.0
