date,Production(KWh),Consumption(KWh)
2025-08-05 01:00:00,0.0,21.0
2025-08-05 02:00:00,0.0,21.5
2025-08-05 03:00:00,0.0,22.0
2025-08-05 04:00:00,0.0,21.4
2025-08-05 05:00:00,0.0,20.6
2025-08-05 06:00:00,0.0,21.7
2025-08-05 07:00:00,0.0,32.2
2025-08-05 08:00:00,0.0,31.2
2025-08-05 09:00:00,2.0,29.2
2025-08-05 10:00:00,4.2,29.3
2025-08-05 11:00:00,11.9,26.1
2025-08-05 12:00:00,15.7,26.0
2025-08-05 13:00:00,19.4,28.1
2025-08-05 14:00:00,11.9,23.7
2025-08-05 15:00:00,6.1,24.9
2025-08-05 16:00:00,2.2,22.9
2025-08-05 17:00:00,0.4,23.1
2025-08-05 18:00:00,0.0,22.8
2025-08-05 19:00:00,0.0,23.4
2025-08-05 20:00:00,0.0,22.0
2025-08-05 21:00:00,0.0,22.5
2025-08-05 22:00:00,0.0,21.6
2025-08-05 23:00:00,0.0,20.6
2025-08-05 24:00:00,0.0,21.9
