date,Production(KWh),Consumption(KWh)
2023-12-25 0:00:00,6.699,0.0
2023-12-25 1:00:00,8.18775,0.0
2023-12-25 2:00:00,8.198099,0.0
2023-12-25 3:00:00,8.20845,0.0
2023-12-25 4:00:00,8.1844,0.0
2023-12-25 5:00:00,8.182967,0.0
2023-12-25 6:00:00,8.374901,0.0
2023-12-25 7:00:00,7.8284,0.17410006
2023-12-25 8:00:00,7.8284,1.3778999
2023-12-25 9:00:00,7.8284,9.165575
2023-12-25 10:00:00,8.1366005,26.5267
2023-12-25 11:00:00,8.1366005,34.613102
2023-12-25 12:00:00,8.27755,35.089626
2023-12-25 13:00:00,8.27755,30.32785
2023-12-25 14:00:00,8.208799,18.630474
2023-12-25 15:00:00,8.223366,8.127325
2023-12-25 16:00:00,8.2165,0.66087544
2023-12-25 17:00:00,8.209634,0.0
2023-12-25 18:00:00,8.1977005,0.0
2023-12-25 19:00:00,8.2048,0.0
2023-12-25 20:00:00,8.6178,0.0
2023-12-25 21:00:00,8.40145,0.0
2023-12-25 22:00:00,8.185101,0.0
2023-12-25 23:00:00,8.3548,0.0
