date,Discharge(W),Charge(W),Production(W),Consumption(W),Feed-in(W),From grid(W),State of Charge(%)
2020-01-28 0:0:00,0.0,0.13,0.0,0.32,0.0,0.45,73.0
2020-01-28 0:1:00,0.0,0.13,0.0,0.32,0.0,0.45,73.0
2020-01-28 0:2:00,0.0,0.13,0.0,0.33,0.0,0.46,73.0
2020-01-28 0:3:00,0.0,0.13,0.0,0.32,0.0,0.45,73.0
2020-01-28 0:4:00,0.0,0.13,0.0,0.3,0.0,0.43,73.0
2020-01-28 0:5:00,0.0,0.13,0.0,0.3,0.0,0.43,73.0
2020-01-28 0:6:00,0.0,0.13,0.0,0.3,0.0,0.43,73.0
2020-01-28 0:7:00,0.0,0.13,0.0,0.28,0.0,0.41,73.0
2020-01-28 0:8:00,0.0,0.13,0.0,0.28,0.0,0.41,73.0
2020-01-28 0:9:00,0.0,0.13,0.0,0.28,0.0,0.41,73.0
2020-01-28 0:10:00,0.0,0.13,0.0,0.28,0.0,0.41,73.0
2020-01-28 0:11:00,0.0,0.13,0.0,0.28,0.0,0.41,73.0
2020-01-28 0:12:00,0.0,0.13,0.0,0.28,0.0,0.41,73.0
2020-01-28 0:13:00,0.0,0.13,0.0,0.28,0.0,0.41,73.0
2020-01-28 0:14:00,0.0,0.13,0.0,0.28,0.0,0.41,73.0
2020-01-28 0:15:00,0.0,0.13,0.0,0.28,0.0,0.41,73.0
2020-01-28 0:16:00,0.72,0.0,0.0,2.33,0.0,1.61,73.0
2020-01-28 0:17:00,1.63,0.0,0.0,2.1,0.0,0.47,73.0
2020-01-28 0:18:00,1.52,0.0,0.0,1.98,0.0,0.46,73.0
2020-01-28 0:19:00,1.62,0.0,0.0,2.07,0.0,0.45,73.0
2020-01-28 0:20:00,1.58,0.0,0.0,2.12,0.0,0.54,73.0
2020-01-28 0:21:00,1.52,0.0,0.0,2.0,0.0,0.48,73.0
2020-01-28 0:22:00,1.58,0.0,0.0,2.12,0.0,0.54,73.0
2020-01-28 0:23:00,1.63,0.0,0.0,2.08,0.0,0.45,73.0
