date,Production(KWh),Consumption(KWh)
2023-09-25 0:00:00,0,0
2023-09-25 1:00:00,0,0
2023-09-25 2:00:00,0,0
2023-09-25 3:00:00,0,0
2023-09-25 4:00:00,0,0
2023-09-25 5:00:00,0,0
2023-09-25 6:00:00,0,0
2023-09-25 7:00:00,0,0
2023-09-25 8:00:00,0,0
2023-09-25 9:00:00,0,0
2023-09-25 10:00:00,0,0
2023-09-25 11:00:00,0,0
2023-09-25 12:00:00,0,0
2023-09-25 13:00:00,0,0
2023-09-25 14:00:00,0,0
2023-09-25 15:00:00,0,0
2023-09-25 16:00:00,0,0
2023-09-25 17:00:00,0,0
2023-09-25 18:00:00,0,0
2023-09-25 19:00:00,0,0
2023-09-25 20:00:00,0,0
2023-09-25 21:00:00,0,0
2023-09-25 22:00:00,0,0
2023-09-25 23:00:00,0,0
