date,Production(KWh),Consumption(KWh)
2023-12-27 0:00:00,0.0,8.09
2023-12-27 1:00:00,0.0,8.17
2023-12-27 2:00:00,0.0,8.16
2023-12-27 3:00:00,0.0,8.3
2023-12-27 4:00:00,0.0,8.4
2023-12-27 5:00:00,0.0,8.43
2023-12-27 6:00:00,0.0,8.34
2023-12-27 7:00:00,1.06,8.29
2023-12-27 8:00:00,1.56,8.23
2023-12-27 9:00:00,12.85,8.29
2023-12-27 10:00:00,28.46,8.48
2023-12-27 11:00:00,30.9,8.8
2023-12-27 12:00:00,35.63,8.91
2023-12-27 13:00:00,33.26,8.87
2023-12-27 14:00:00,18.33,8.84
2023-12-27 15:00:00,8.81,8.79
2023-12-27 16:00:00,1.25,8.71
2023-12-27 17:00:00,0.0,8.79
2023-12-27 18:00:00,0.0,8.88
2023-12-27 19:00:00,0.0,8.95
2023-12-27 20:00:00,0.0,8.89
2023-12-27 21:00:00,0.0,9.04
2023-12-27 22:00:00,0.0,9.05
2023-12-27 23:00:00,0.0,8.77
