date,Production(KWh),Consumption(KWh)
2023-11-21 0:00:00,0.0,10.52
2023-11-21 1:00:00,0.0,9.39
2023-11-21 2:00:00,0.0,8.28
2023-11-21 3:00:00,0.0,7.63
2023-11-21 4:00:00,0.0,7.59
2023-11-21 5:00:00,0.0,6.98
2023-11-21 6:00:00,0.0,6.64
2023-11-21 7:00:00,0.0,6.56
2023-11-21 8:00:00,4.02,6.4
2023-11-21 9:00:00,7.53,6.7
2023-11-21 10:00:00,19.99,6.37
2023-11-21 11:00:00,11.58,10.07
2023-11-21 12:00:00,15.64,11.82
2023-11-21 13:00:00,17.43,12.93
2023-11-21 14:00:00,7.25,13.28
2023-11-21 15:00:00,4.34,13.93
2023-11-21 16:00:00,1.52,14.11
2023-11-21 17:00:00,0.69,13.76
2023-11-21 18:00:00,0.0,13.79
2023-11-21 19:00:00,0.0,13.89
2023-11-21 20:00:00,0.0,13.99
2023-11-21 21:00:00,0.0,13.24
2023-11-21 22:00:00,0.0,12.85
2023-11-21 23:00:00,0.0,12.64
