date,Production(KWh),Consumption(KWh)
2023-08-25 0:00:00,0.0,6.28
2023-08-25 1:00:00,0.0,7.11
2023-08-25 2:00:00,0.0,7.14
2023-08-25 3:00:00,0.0,6.96
2023-08-25 4:00:00,0.0,6.81
2023-08-25 5:00:00,0.0,6.88
2023-08-25 6:00:00,0.24,5.96
2023-08-25 7:00:00,4.54,7.2
2023-08-25 8:00:00,13.99,5.86
2023-08-25 9:00:00,24.06,6.98
2023-08-25 10:00:00,35.98,6.92
2023-08-25 11:00:00,38.57,7.48
2023-08-25 12:00:00,42.86,6.84
2023-08-25 13:00:00,27.68,8.2
2023-08-25 14:00:00,28.16,10.69
2023-08-25 15:00:00,19.14,11.69
2023-08-25 16:00:00,15.4,8.55
2023-08-25 17:00:00,9.93,11.95
2023-08-25 18:00:00,3.67,12.21
2023-08-25 19:00:00,0.62,8.5
2023-08-25 20:00:00,0.0,9.25
2023-08-25 21:00:00,0.0,8.29
2023-08-25 22:00:00,0.0,7.71
2023-08-25 23:00:00,0.0,7.03
