date,Production(KWh),Consumption(KWh)
2023-10-25 0:00:00,0.0,8.84
2023-10-25 1:00:00,0.0,9.09
2023-10-25 2:00:00,0.0,9.04
2023-10-25 3:00:00,0.0,7.9
2023-10-25 4:00:00,0.0,6.92
2023-10-25 5:00:00,0.0,6.79
2023-10-25 6:00:00,0.0,6.1
2023-10-25 7:00:00,0.22,6.99
2023-10-25 8:00:00,5.38,6.94
2023-10-25 9:00:00,22.7,6.95
2023-10-25 10:00:00,33.14,11.61
2023-10-25 11:00:00,38.86,10.57
2023-10-25 12:00:00,36.18,11.07
2023-10-25 13:00:00,37.8,10.55
2023-10-25 14:00:00,36.12,10.86
2023-10-25 15:00:00,28.9,11.12
2023-10-25 16:00:00,17.29,11.81
2023-10-25 17:00:00,4.24,12.51
2023-10-25 18:00:00,0.03,11.09
2023-10-25 19:00:00,0.0,11.6
2023-10-25 20:00:00,0.0,11.0
2023-10-25 21:00:00,0.0,11.1
2023-10-25 22:00:00,0.0,11.0
2023-10-25 23:00:00,0.0,9.53
