date,Production(KWh),Consumption(KWh)
2023-08-31 0:00:00,8.948646,9.372725
2023-08-31 1:00:00,5.698211,6.8363295
2023-08-31 2:00:00,5.1304064,6.414515
2023-08-31 3:00:00,4.7995577,6.133007
2023-08-31 4:00:00,5.1209593,6.432315
2023-08-31 5:00:00,5.959841,6.177401
2023-08-31 6:00:00,6.841869,6.365146
2023-08-31 7:00:00,7.6020637,6.840724
2023-08-31 8:00:00,8.127854,7.009268
2023-08-31 9:00:00,8.572369,7.0318594
2023-08-31 10:00:00,9.101153,7.246705
2023-08-31 11:00:00,9.888761,8.287523
2023-08-31 12:00:00,10.749926,10.175409
2023-08-31 13:00:00,11.410863,11.300041
2023-08-31 14:00:00,11.90545,10.90988
2023-08-31 15:00:00,12.094038,11.045678
2023-08-31 16:00:00,11.731454,11.462131
2023-08-31 17:00:00,10.944419,11.479688
2023-08-31 18:00:00,10.026873,10.489882
2023-08-31 19:00:00,9.363827,10.032638
2023-08-31 20:00:00,9.032679,10.149717
2023-08-31 21:00:00,8.749714,9.850674
2023-08-31 22:00:00,8.242892,8.920498
2023-08-31 23:00:00,7.72454,8.31707
