date,Production(KWh),Consumption(KWh)
2023-12-30 0:00:00,0.0,11.25
2023-12-30 1:00:00,0.0,11.33
2023-12-30 2:00:00,0.0,11.41
2023-12-30 3:00:00,0.0,8.44
2023-12-30 4:00:00,0.0,8.44
2023-12-30 5:00:00,0.0,8.44
2023-12-30 6:00:00,0.0,8.18
2023-12-30 7:00:00,0.13,7.93
2023-12-30 8:00:00,1.02,8.17
2023-12-30 9:00:00,6.78,8.23
2023-12-30 10:00:00,19.8,8.29
2023-12-30 11:00:00,26.0,8.08
2023-12-30 12:00:00,27.41,7.87
2023-12-30 13:00:00,24.48,7.2
2023-12-30 14:00:00,11.71,8.13
2023-12-30 15:00:00,6.25,8.13
2023-12-30 16:00:00,0.73,8.49
2023-12-30 17:00:00,0.0,8.85
