date,Production(KWh),Consumption(KWh)
2023-08-28 0:00:00,0.0,7.0726333
2023-08-28 1:00:00,0.0,7.0182996
2023-08-28 2:00:00,0.0,6.3736663
2023-08-28 3:00:00,0.0,6.97275
2023-08-28 4:00:00,0.0,6.99775
2023-08-28 5:00:00,0.0,7.023875
2023-08-28 6:00:00,0.09002584,5.6534753
2023-08-28 7:00:00,5.3787503,7.66888
2023-08-28 8:00:00,15.540276,7.03374
2023-08-28 9:00:00,27.586124,6.3986
2023-08-28 10:00:00,35.085552,7.5269504
2023-08-28 11:00:00,40.078022,9.029799
2023-08-28 12:00:00,42.744297,11.819325
2023-08-28 13:00:00,44.562546,9.800651
2023-08-28 14:00:00,42.35315,9.95695
2023-08-28 15:00:00,36.252228,12.5732
2023-08-28 16:00:00,26.847052,12.142
2023-08-28 17:00:00,13.704925,12.940125
2023-08-28 18:00:00,3.2056997,7.2874
2023-08-28 19:00:00,0.7257748,9.157967
2023-08-28 20:00:00,0.0,12.566625
2023-08-28 21:00:00,0.0,12.4196
2023-08-28 22:00:00,0.0,10.655833
2023-08-28 23:00:00,0.0,12.378066
