date,Production(KWh),Consumption(KWh)
2023-08-27 0:00:00,0,0
2023-08-27 1:00:00,0,0
2023-08-27 2:00:00,0,0
2023-08-27 3:00:00,0,0
2023-08-27 4:00:00,0,0
2023-08-27 5:00:00,0,0
2023-08-27 6:00:00,0,0
2023-08-27 7:00:00,0,0
2023-08-27 8:00:00,0,0
2023-08-27 9:00:00,0,0
2023-08-27 10:00:00,0,0
2023-08-27 11:00:00,0,0
2023-08-27 12:00:00,0,0
2023-08-27 13:00:00,0,0
2023-08-27 14:00:00,0,0
2023-08-27 15:00:00,0,0
2023-08-27 16:00:00,0,0
2023-08-27 17:00:00,0,0
2023-08-27 18:00:00,0,0
2023-08-27 19:00:00,0,0
2023-08-27 20:00:00,0,0
2023-08-27 21:00:00,0,0
2023-08-27 22:00:00,0,0
2023-08-27 23:00:00,0,0
