date,Production(W),Consumption(W)
2022-09-27 0:00:00,0.0,7.942
2022-09-27 1:00:00,0.0,8.127
2022-09-27 2:00:00,0.0,8.332
2022-09-27 3:00:00,0.0,8.281
2022-09-27 4:00:00,0.0,8.328
2022-09-27 5:00:00,0.0,8.617
2022-09-27 6:00:00,0.0,9.592
2022-09-27 7:00:00,4.315,11.494
2022-09-27 8:00:00,11.916,13.584
2022-09-27 9:00:00,11.703,15.12
2022-09-27 10:00:00,13.505,15.701
2022-09-27 11:00:00,21.79,15.617
2022-09-27 12:00:00,15.099,15.168
2022-09-27 13:00:00,18.856,15.104
2022-09-27 14:00:00,14.005,14.916
2022-09-27 15:00:00,4.696,14.806
2022-09-27 16:00:00,4.023,14.748
2022-09-27 17:00:00,2.081,14.218
2022-09-27 18:00:00,1.012,13.032
2022-09-27 19:00:00,0.0,11.519
2022-09-27 20:00:00,0.0,10.044
2022-09-27 21:00:00,0.0,9.044
2022-09-27 22:00:00,0.0,8.569
2022-09-27 23:00:00,0.0,8.643
