date,Production(KWh),Consumption(KWh)
2023-08-21 0:00:00,0,20.97171242
2023-08-21 1:00:00,0,21.45976646
2023-08-21 2:00:00,0,21.95357392
2023-08-21 3:00:00,0,21.40009926
2023-08-21 4:00:00,0,20.62391572
2023-08-21 5:00:00,0,21.67935639
2023-08-21 6:00:00,0,32.159762
2023-08-21 7:00:00,0.035769965,31.22137185
2023-08-21 8:00:00,3.016915649,29.24626603
2023-08-21 9:00:00,5.21550941,29.34627967
2023-08-21 10:00:00,11.8895738,26.07673044
2023-08-21 11:00:00,15.70578048,25.95872776
2023-08-21 12:00:00,19.40817935,28.13777927
2023-08-21 13:00:00,11.9232071,23.65754444
2023-08-21 14:00:00,6.138308622,24.90407592
2023-08-21 15:00:00,2.214679509,22.8667501
2023-08-21 16:00:00,0.421902648,23.12387216
2023-08-21 17:00:00,0,22.78190763
2023-08-21 18:00:00,0,23.40441512
2023-08-21 19:00:00,0,22.04796811
2023-08-21 20:00:00,0,22.49165161
2023-08-21 21:00:00,0,21.5784105
2023-08-21 22:00:00,0,20.60289624
2023-08-21 23:00:00,0,21.88167646
