date,Production(KWh),Consumption(KWh)
2023-08-21 0:00:00,0,20.98
2023-08-21 1:00:00,0,21.46
2023-08-21 2:00:00,0,21.95
2023-08-21 3:00:00,0,21.40
2023-08-21 4:00:00,0,20.62
2023-08-21 5:00:00,0,21.68
2023-08-21 6:00:00,0,32.16
2023-08-21 7:00:00,0.04,31.22
2023-08-21 8:00:00,3.01,29.25
2023-08-21 9:00:00,5.22,29.35
2023-08-21 10:00:00,11.88,26.08
2023-08-21 11:00:00,15.71,25.96
2023-08-21 12:00:00,19.41,28.14
2023-08-21 13:00:00,11.92,23.66
2023-08-21 14:00:00,6.14,24.90
2023-08-21 15:00:00,2.21,22.87
2023-08-21 16:00:00,0.42,23.12
2023-08-21 17:00:00,0,22.78
2023-08-21 18:00:00,0,23.40
2023-08-21 19:00:00,0,22.05
2023-08-21 20:00:00,0,22.49
2023-08-21 21:00:00,0,21.58
2023-08-21 22:00:00,0,20.60
2023-08-21 23:00:00,0,21.88
